date,post_count,post_count_diff,prob_epidemic
2018-10-31,5,-9.0,
2018-11-01,12,7.0,0.9999999999999998
2018-11-02,11,-1.0,
2018-11-03,2,-9.0,
2018-11-04,1,-1.0,
2018-11-05,11,10.0,
2018-11-06,23,12.0,1.0
2018-11-07,11,-12.0,
2018-11-08,7,-4.0,
2018-11-09,7,0.0,
2018-11-10,5,-2.0,
2018-11-11,5,0.0,0.6225863374095446
2018-11-12,9,4.0,
2018-11-13,15,6.0,
2018-11-14,9,-6.0,
2018-11-15,7,-2.0,
2018-11-16,7,0.0,0.7321326694446776
2018-11-17,3,-4.0,
2018-11-18,2,-1.0,
2018-11-19,9,7.0,
2018-11-20,9,0.0,
2018-11-21,6,-3.0,0.5179356146301894
2018-11-22,4,-2.0,
2018-11-23,8,4.0,
2018-11-24,1,-7.0,
2018-11-25,1,0.0,
2018-11-26,5,4.0,0.9999998715054392
2018-11-27,8,3.0,
2018-11-28,8,0.0,
2018-11-29,15,7.0,
2018-11-30,10,-5.0,
2018-12-01,7,-3.0,0.689823596194676
2018-12-02,3,-4.0,
2018-12-03,19,16.0,
2018-12-04,7,-12.0,
2018-12-05,5,-2.0,
2018-12-06,7,2.0,0.9979268260141648
2018-12-07,11,4.0,
2018-12-08,3,-8.0,
2018-12-09,4,1.0,
2018-12-10,6,2.0,
2018-12-11,9,3.0,0.9986561372973177
2018-12-12,10,1.0,
2018-12-13,4,-6.0,
2018-12-14,5,1.0,
2018-12-15,3,-2.0,
2018-12-16,1,-2.0,0.5364831146976957
2018-12-17,2,1.0,
2018-12-18,7,5.0,
2018-12-19,9,2.0,
2018-12-20,6,-3.0,
2018-12-21,6,0.0,0.05985128804715665
2018-12-22,0,-6.0,
2018-12-23,5,5.0,
2018-12-24,4,-1.0,
2018-12-25,3,-1.0,
2018-12-26,2,-1.0,0.043256495019064464
2018-12-27,6,4.0,
2018-12-28,5,-1.0,
2018-12-29,4,-1.0,
2018-12-30,4,0.0,
